timestamp,Basilea Temperature [2 m elevation corrected],Basilea Precipitation Total,Basilea FAO Reference Evapotranspiration [2 m]
20220122T0600,-0.019471344,0,0.009509828
20220122T0700,-0.41947132,0,0.008990571
20220122T0800,-0.42947134,0,0.008446936
20220122T0900,-0.10947134,0,0.012908284
20220122T1000,0.81052864,0,0.014655679
20220122T1100,1.9205287,0,0.04741781
20220122T1200,3.3805285,0,0.077603646
20220122T1300,4.1505284,0,0.08681387
20220122T1400,3.1105285,0,0.13294345
20220122T1500,3.9705286,0,0.13142334
20220122T1600,4.6005287,0,0.10830893
20220122T1700,4.8105288,0,0.07149799
20220122T1800,4.5105286,0,0.02060722
20220122T1900,3.7805285,0,0.000529037
20220122T2000,2.9405286,0,0
20220122T2100,2.1805286,0,0
20220122T2200,1.9105287,0,0
20220122T2300,1.8705287,0,0
20220123T0000,1.7105286,0,0
20220123T0100,1.4505286,0,0
20220123T0200,1.0305287,0,0
20220123T0300,0.8305287,0,0
20220123T0400,0.5705287,0,0
20220123T0500,0.29052866,0,0
20220123T0600,0.28052866,0,0
20220123T0700,0.050528657,0,0
20220123T0800,-0.34947133,0,0
20220123T0900,-0.5394713,0,0
20220123T1000,0.43052867,0,0.000678748
20220123T1100,1.8205286,0,0.04238266
20220123T1200,3.3305285,0,0.08616914
20220123T1300,4.4905286,0,0.11903207
20220123T1400,5.790529,0,0.13819163
20220123T1500,6.1905284,0,0.14041163
20220123T1600,6.1305285,0,0.12253547
20220123T1700,5.8505287,0,0.087377176
20220123T1800,4.8905287,0,0.033874676
20220123T1900,3.2305286,0,0.01744901
20220123T2000,2.1405284,0,0.002551459
20220123T2100,1.5905286,0,0
20220123T2200,1.3105286,0,0.000137615
20220123T2300,1.3005286,0,0.004369579
20220124T0000,1.5205287,0,0.007041857
20220124T0100,0.98052865,0,0.005347318
20220124T0200,0.85052866,0,0.003590387
20220124T0300,0.7105287,0,0.002024464
20220124T0400,0.39052868,0,0.001716589
20220124T0500,0.12052866,0,0.002740892
20220124T0600,0.17052865,0,0.004758039
20220124T0700,0.09052865,0,0.007484463
20220124T0800,-0.31947133,0,0.009106095
20220124T0900,-0.65947133,0,0.009355
20220124T1000,-0.07947134,0,0.014900276
20220124T1100,1.0005287,0,0.049295746
20220124T1200,2.4805286,0,0.088392176
20220124T1300,3.9305286,0,0.121916935
20220124T1400,5.2605286,0,0.14267956
20220124T1500,6.3805285,0,0.14985563
20220124T1600,6.8605285,0,0.13408053
20220124T1700,6.6205287,0,0.09687939
20220124T1800,5.5305285,0,0.041294847
20220124T1900,3.9905286,0,0.016335567
20220124T2000,1.6005287,0,0.000678643
20220124T2100,0.74052864,0,0
20220124T2200,0.37052867,0,0
20220124T2300,-0.23947135,0,0
20220125T0000,-0.5394713,0,0
20220125T0100,-0.33947134,0,0
20220125T0200,0.010528658,0,0.000851414
20220125T0300,0.040528655,0,0.000682919
20220125T0400,0.070528656,0,0.000810151
20220125T0500,0.35052866,0,0.001735001
20220125T0600,1.0205287,0,0.005228452
20220125T0700,1.7805287,0,0.009523052
20220125T0800,2.1205285,0,0.011564629
20220125T0900,2.2305286,0,0.016054086
20220125T1000,2.1605287,0,0.01835268
20220125T1100,2.6105285,0,0.058316812
20220125T1200,4.0505285,0,0.09820958
20220125T1300,5.1305285,0,0.13590094
20220125T1400,4.5005283,0,0.14640266
20220125T1500,5.8305287,0,0.1471115
20220125T1600,6.8205285,0,0.125857
20220125T1700,6.9305286,0,0.08259092
20220125T1800,6.6905284,0,0.029450273
20220125T1900,6.2105284,0,0.014637648
20220125T2000,5.4105287,0,0.009196958
20220125T2100,5.2305284,0,0.008087285
20220125T2200,4.8005285,0,0.008192894
20220125T2300,2.7505286,0,0.009267207
20220126T0000,2.5005286,0,0.007278738
20220126T0100,2.8905284,0,0.001905027
20220126T0200,2.8405285,0,0.002258488
20220126T0300,2.5105286,0,0
20220126T0400,2.4005284,0,0
20220126T0500,2.6005285,0,0.003125497
20220126T0600,2.4105287,0,0.010594038
20220126T0700,1.9505286,0,0.011579332
20220126T0800,0.93052864,0,0.006783182
20220126T0900,0.47052866,0,0.0020866
20220126T1000,0.74052864,0,0.002124845
20220126T1100,2.1505284,0,0.046465445
20220126T1200,3.5805285,0,0.09643427
20220126T1300,4.6705284,0,0.13227619
20220126T1400,5.9405284,0,0.15615715
20220126T1500,7.2705283,0,0.1619415
20220126T1600,7.5705285,0,0.14384879
20220126T1700,7.2005286,0,0.09931439
20220126T1800,6.1205287,0,0.04011409
20220126T1900,5.3005285,0,0.01711347
20220126T2000,4.2405286,0,0.007808009
20220126T2100,3.6205285,0,0.005927981
20220126T2200,2.8105285,0,0.000955684
20220126T2300,2.5605285,0,0.004497313
20220127T0000,2.2605286,0,9.74E-05
20220127T0100,1.9405286,0,0
20220127T0200,1.9105287,0,0.002839542
20220127T0300,1.9805287,0,0.00711625
20220127T0400,1.6905286,0,0.005766481
20220127T0500,1.4405286,0,0.004395876
20220127T0600,1.4305286,0,0.004084365
20220127T0700,1.6005287,0,0.006391397
20220127T0800,1.4405286,0,0.007379021
20220127T0900,1.2605287,0,0.008840615
20220127T1000,1.4705287,0,0.006869557
20220127T1100,2.1105285,0,0.047599096
