Basilea Temperature [1000 mb],Basilea Temperature [850 mb],Basilea Temperature [700 mb],Basilea Relative Humidity [2 m],Basilea CAPE [180-0 mb above gnd],Basilea Mean Sea Level Pressure [MSL],Basilea Geopotential Height [1000 mb],Basilea Geopotential Height [850 mb],Basilea Geopotential Height [700 mb],Basilea Geopotential Height [500 mb],Basilea Evapotranspiration,Basilea FAO Reference Evapotranspiration [2 m],Basilea Temperature,Basilea Soil Temperature [0-10 cm down],Basilea Soil Moisture [0-10 cm down],Basilea Vapor Pressure Deficit [2 m],Basilea Wind Speed [10 m],Basilea Wind Direction [10 m],Basilea Wind Speed [80 m],Basilea Wind Direction [80 m],Basilea Wind Gust,Basilea Wind Speed [900 mb],Basilea Wind Direction [900 mb],Basilea Wind Speed [850 mb],Basilea Wind Direction [850 mb],Basilea Wind Speed [700 mb],Basilea Wind Direction [700 mb],Basilea Wind Speed [500 mb],Basilea Wind Direction [500 mb],ID,month,Basilea Next Day Soil Moisture [0-10 cm down]
15.61,6.3,-3.35,81,95,1013.6,116,1471,3034,5618,0.03024,0.028992504,13.94,15.950012,0.254,3.0825262,18.359999,270.0,28.1169,272.93567,28.08,47.488625,289.946,42.650505,291.8014,49.27794,297.87552,80.35664,306.25385,4919,7,0.232
8.82,-1.09,-11.21,70,0,1003.4,30,1349,2869,5353,0.04176,0.04563259,5.2,6.230011,0.321,2.9737172,24.482647,250.23282,33.58821,250.59402,37.8,66.03817,252.55283,64.68991,260.06592,61.6063,250.18854,61.67778,219.07764,1511,3,0.323
6.44,-1.05,-9.87,78,0,1006.3,51,1363,2885,5433,0.01152,0.009720196,3.34,5.4900208,0.263,1.723012,9.746631,184.23639,14.168641,207.21611,20.519999,15.509274,248.1986,23.042812,241.03235,26.661882,267.67847,35.9946,300.66895,51655,11,0.273
16.63,4.76,-5.53,52,41,997.5,-16,1335,2885,5446,0.1152,0.27779353,17.74,14.140015,0.24,8.51028,35.772484,249.37646,44.53682,249.66078,52.199997,65.605,249.77515,78.68286,254.88284,78.56252,272.6264,140.66559,273.52145,54183,3,0.244
7.13,3.23,-5.28,58,0,1021.1,169,1502,3048,5596,0.00432,0.040199917,2.3,3.9200134,0.244,3.4334621,14.973577,117.18111,29.387999,120.963745,11.5199995,12.229406,222.61406,18.35647,258.69006,12.397806,205.821,25.509243,188.93059,45481,3,0.248
13.95,5.51,-3.2,85,42,1020.3,170,1523,3084,5677,0.06048,0.07789455,16.6,15.740021,0.28,2.4304276,11.792404,328.73627,12.10157,329.62088,16.56,22.33161,20.772247,15.517629,3.9909058,28.496904,243.75865,52.620373,214.12494,5840,9,0.265
11.9,9.59,-0.42,48,0,1035.0,289,1634,3215,5815,0.11808,0.27022856,16.65,12.470001,0.263,7.607206,4.379589,9.462311,5.0142193,338.9625,20.880001,55.13762,92.619545,53.153362,98.569145,38.03413,72.93714,35.452232,80.059425,18854,2,0.263
9.23,6.17,2.69,80,0,1023.1,190,1530,3116,5756,0.0504,0.14255987,16.34,14.679993,0.237,2.4900246,6.12,331.92752,5.6233797,309.80557,11.879999,31.487139,84.09385,22.206486,73.033844,16.595179,356.26862,32.056175,302.61926,23769,9,0.239
24.55,16.23,4.95,62,291,1018.4,156,1558,3176,5840,0.04032,0.09355808,23.06,25.059998,0.233,11.022312,16.610792,119.898895,28.820242,115.924904,21.599998,22.553936,98.25943,9.585739,34.286865,4.5536795,288.43497,11.384199,161.56505,32563,9,0.233
5.62,0.1,-9.87,70,0,1008.9,72,1386,2913,5416,0.00144,0.001551032,2.62,3.7600098,0.28,2.3446007,3.96,270.0,7.7043357,322.59467,3.6,2.9024127,82.874985,1.8,270.0,12.181625,161.02959,29.795301,205.01689,9645,2,0.28
18.35,13.31,2.62,90,337,1013.7,116,1504,3106,5750,0.00144,0.0,17.99,19.51001,0.174,2.0193653,7.2359104,264.28943,7.69592,280.7843,9.0,10.464797,26.565033,11.177405,14.931412,3.671294,281.30994,10.182337,315.0,49539,8,0.202
28.13,15.55,3.66,40,631,1012.3,103,1513,3124,5758,0.13968,0.17359552,28.6,28.899994,0.256,22.15651,3.6,89.99999,2.8799999,89.99999,6.12,4.1046314,164.74487,9.0,180.0,25.241108,266.7295,51.691032,223.58907,21571,6,0.259
16.4,12.39,0.6,96,0,1017.8,145,1523,3116,5738,0.0,0.0,10.17,11.420013,0.299,0.4835682,14.186923,125.70669,31.682043,126.218834,20.519999,20.12461,190.30484,33.121956,217.49266,60.379204,244.19885,53.397842,250.70996,50909,10,0.301
20.62,8.74,-0.8,58,24,1014.0,118,1493,3067,5683,0.01008,0.0,17.55,19.619995,0.26,9.183979,3.0547013,315.0,9.673221,315.0,8.64,8.699793,294.44397,9.346143,285.64224,7.7879906,236.30994,9.290511,324.46234,21021,5,0.278
16.74,14.47,3.66,79,609,1019.7,166,1548,3158,5808,0.07632,0.097197466,19.4,20.290009,0.254,4.0804834,14.982228,324.7824,17.782686,328.24054,19.44,8.669949,4.7636414,17.447933,291.8014,39.345543,265.80234,50.030933,283.73627,21895,7,0.241
17.34,9.55,-1.44,83,40,1004.1,36,1404,2985,5604,0.05328,0.024025243,17.16,19.27002,0.292,3.1477203,5.506941,168.69006,5.771239,183.57634,9.72,21.749481,245.55606,33.092598,261.8699,47.066467,248.93103,37.8,270.0,29997,6,0.246
1.18,4.75,-2.53,66,0,1030.6,243,1565,3123,5711,0.01152,0.10627655,5.96,2.9400024,0.294,2.7775211,3.5455887,66.037506,3.0547013,44.999985,7.92,8.350138,97.431404,4.0249224,333.43497,27.475807,338.47742,45.160988,351.28857,17388,12,0.3
3.86,-1.78,-6.61,91,1,1022.5,180,1491,3017,5586,0.0072,0.0,3.18,5.5,0.273,0.6680112,7.5685663,334.65384,13.009903,345.57922,19.44,39.254856,88.423454,37.191677,85.55876,44.269753,75.39872,45.551025,107.002846,7441,11,0.291
18.53,8.94,0.07,85,88,1018.9,160,1530,3114,5742,0.0144,0.015834669,17.44,16.839996,0.221,2.9220142,4.3349743,184.76364,6.12,241.92752,10.08,13.1041975,290.9245,13.797912,277.49585,20.46941,246.13983,15.815435,281.8215,41143,9,0.197
26.2,17.28,5.53,53,221,1007.3,60,1467,3089,5762,0.15408,0.39491144,30.07,25.52002,0.253,15.891697,10.799999,89.99999,10.799999,89.99999,10.08,6.696387,126.25384,9.693296,158.1986,75.48849,221.52008,109.90323,238.3925,39684,7,0.286
