timestamp,Basilea Temperature [2 m elevation corrected],Basilea Growing Degree Days [2 m elevation corrected],Basilea Temperature [1000 mb],Basilea Temperature [850 mb],Basilea Temperature [700 mb],Basilea Sunshine Duration,Basilea Shortwave Radiation,Basilea Direct Shortwave Radiation,Basilea Diffuse Shortwave Radiation,Basilea Precipitation Total,Basilea Snowfall Amount,Basilea Relative Humidity [2 m],Basilea Cloud Cover Total,Basilea Cloud Cover High [high cld lay],Basilea Cloud Cover Medium [mid cld lay],Basilea Cloud Cover Low [low cld lay],Basilea CAPE [180-0 mb above gnd],Basilea Mean Sea Level Pressure [MSL],Basilea Geopotential Height [1000 mb],Basilea Geopotential Height [850 mb],Basilea Geopotential Height [700 mb],Basilea Geopotential Height [500 mb],Basilea Temperature,Basilea Soil Temperature [0-10 cm down],Basilea Vapor Pressure Deficit [2 m],Basilea Wind Speed [10 m],Basilea Wind Direction [10 m],Basilea Wind Speed [80 m],Basilea Wind Direction [80 m],Basilea Wind Gust,Basilea Wind Speed [900 mb],Basilea Wind Direction [900 mb],Basilea Wind Speed [850 mb],Basilea Wind Direction [850 mb],Basilea Wind Speed [700 mb],Basilea Wind Direction [700 mb],Basilea Wind Speed [500 mb],Basilea Wind Direction [500 mb]
20220922T1000,14.420529,0.18418872,13.36,6.33,1.08,60,590.07,340.7379,249.33209,0,0,52,0,0,0,0,0,1022,183,1530,3102,5720,20.48,15.630005,7.8531437,6.1305785,49.76364,4.8433046,48.01277,12.24,22.314192,100.22216,13.32,108.92464,16.75064,28.217346,47.209442,2.6223907
20220922T1100,16.170528,0.25710535,15,6.57,1.11,60,654.14996,390.62866,263.5213,0,0,47,0,0,0,0,0,1021.5,181,1531,3104,5723,22.9,18.040009,9.701623,6.9247384,27.897263,6.0347,17.35402,9.72,19.211996,102.99461,10.383987,123.69006,15.141414,18.00415,46.249844,4.9117737
20220922T1200,17.73053,0.3221054,16.56,6.73,1.31,60,670.17,404.50424,265.66574,0,0,44,0,0,0,0,0,1020.6,174,1529,3107,5723,24.52,19.99002,11.315572,9.114471,80.90972,8.707238,82.874985,10.08,3.7064266,119.054596,6.2145634,259.992,12.144331,11.97612,48.22522,6.8597565
20220922T1300,18.580528,0.357522,17.5,7.2,1.55,60,640.8,380.78824,260.01175,0,0,42,0,0,0,0,0,1020.2,170,1529,3109,5726,25.16,21.470001,12.361949,6.9527545,68.7495,6.151683,69.443954,7.5599995,5.04,89.99999,8.287822,272.48956,12.6462,4.8990936,48.940144,6.759079
20220922T1400,19.090528,0.37877202,18.19,7.54,1.62,60,565.14996,322.45258,242.69737,0,0,40,0,0,0,0,0,1019.8,167,1528,3108,5727,24.81,22.26001,13.202021,4.8433046,48.01277,4.3349743,48.366455,8.28,3.5455887,66.037506,11.525623,284.47028,12.7279215,351.8699,48.316505,7.7074738
20220922T1500,19.190529,0.3829387,18.57,7.69,1.75,60,449.44998,237.36287,212.08711,0,0,38,0,0,0,0,0,1019.5,165,1528,3107,5728,23.46,22.290009,13.727338,3.671294,11.309921,3.6179552,5.7105865,8.64,1.9386592,21.801407,13.708391,283.67133,13.849477,332.10272,47.867813,6.9112244
20220922T1600,18.930529,0.37210536,18.66,7.68,1.84,60,303.49,136.58719,166.9028,0,0,39,0,0,0,0,0,1019.8,167,1530,3110,5731,21.26,21.580017,13.288804,3.219938,26.565033,3.4152596,18.434952,8.64,2.0991426,59.036232,11.966954,285.70865,15.876775,327.0306,46.96724,4.8365784
20220922T1700,18.270529,0.34460536,18.58,7.72,1.88,60,138.84,41.51175,97.32825,0,0,41,0,0,0,0,0,1019.3,163,1526,3107,5729,18.31,20.170013,12.333265,3.319036,77.47118,3.4152596,71.56504,5.04,4.510787,118.61046,10.137692,286.50436,16.641972,321.14664,46.148857,3.1302338
20220922T1800,17.580528,0.31585535,18.44,7.62,2,29.233334,9.79,4.4778485,5.3121514,0,0,43,0,0,0,0,0,1019,161,1524,3105,5728,15.88,18.300018,11.409292,4.6938252,94.398705,6.4799995,89.99999,5.7599998,4.896529,162.89728,9.178235,281.30994,18.328207,315,45.742672,1.8039856
20220922T1900,16.22053,0.25918874,17.95,7.51,2.07,0,0,0,0,0,0,51,0,0,0,0,0,1019.5,165,1527,3108,5732,14.46,16.730011,8.998048,6.763786,115.20112,9.605998,102.99461,7.5599995,6.519877,173.6598,9.72,270,19.35314,316.50745,44.639996,360
